date,fedfunds,dff,dfedtarl,dfedtaru,dgs2,dgs10,target_mid
2020-07-11,,0.09,0.0,0.25,,,0.125
2020-07-12,,0.09,0.0,0.25,,,0.125
2020-07-13,,0.09,0.0,0.25,0.16,0.64,0.125
2020-07-14,,0.09,0.0,0.25,0.14,0.63,0.125
2020-07-15,,0.1,0.0,0.25,0.16,0.64,0.125
2020-07-16,,0.1,0.0,0.25,0.16,0.62,0.125
2020-07-17,,0.09,0.0,0.25,0.14,0.64,0.125
2020-07-18,,0.09,0.0,0.25,,,0.125
2020-07-19,,0.09,0.0,0.25,,,0.125
2020-07-20,,0.1,0.0,0.25,0.16,0.62,0.125
2020-07-21,,0.1,0.0,0.25,0.14,0.61,0.125
2020-07-22,,0.09,0.0,0.25,0.14,0.6,0.125
2020-07-23,,0.09,0.0,0.25,0.16,0.59,0.125
2020-07-24,,0.09,0.0,0.25,0.14,0.59,0.125
2020-07-25,,0.09,0.0,0.25,,,0.125
2020-07-26,,0.09,0.0,0.25,,,0.125
2020-07-27,,0.1,0.0,0.25,0.15,0.62,0.125
2020-07-28,,0.1,0.0,0.25,0.14,0.59,0.125
2020-07-29,,0.1,0.0,0.25,0.12,0.58,0.125
2020-07-30,,0.1,0.0,0.25,0.11,0.55,0.125
2020-07-31,,0.1,0.0,0.25,0.11,0.55,0.125
2020-08-01,0.1,0.1,0.0,0.25,,,0.125
2020-08-02,,0.1,0.0,0.25,,,0.125
2020-08-03,,0.1,0.0,0.25,0.11,0.56,0.125
2020-08-04,,0.1,0.0,0.25,0.11,0.52,0.125
2020-08-05,,0.1,0.0,0.25,0.11,0.55,0.125
2020-08-06,,0.1,0.0,0.25,0.11,0.55,0.125
2020-08-07,,0.1,0.0,0.25,0.13,0.57,0.125
2020-08-08,,0.1,0.0,0.25,,,0.125
2020-08-09,,0.1,0.0,0.25,,,0.125
2020-08-10,,0.1,0.0,0.25,0.14,0.59,0.125
2020-08-11,,0.1,0.0,0.25,0.16,0.64,0.125
2020-08-12,,0.1,0.0,0.25,0.16,0.69,0.125
2020-08-13,,0.1,0.0,0.25,0.16,0.71,0.125
2020-08-14,,0.1,0.0,0.25,0.14,0.71,0.125
2020-08-15,,0.1,0.0,0.25,,,0.125
2020-08-16,,0.1,0.0,0.25,,,0.125
2020-08-17,,0.1,0.0,0.25,0.14,0.69,0.125
2020-08-18,,0.09,0.0,0.25,0.14,0.67,0.125
2020-08-19,,0.09,0.0,0.25,0.14,0.68,0.125
2020-08-20,,0.09,0.0,0.25,0.13,0.65,0.125
2020-08-21,,0.09,0.0,0.25,0.16,0.64,0.125
2020-08-22,,0.09,0.0,0.25,,,0.125
2020-08-23,,0.09,0.0,0.25,,,0.125
2020-08-24,,0.09,0.0,0.25,0.14,0.65,0.125
2020-08-25,,0.09,0.0,0.25,0.15,0.69,0.125
2020-08-26,,0.09,0.0,0.25,0.16,0.69,0.125
2020-08-27,,0.08,0.0,0.25,0.16,0.74,0.125
2020-08-28,,0.09,0.0,0.25,0.14,0.74,0.125
2020-08-29,,0.09,0.0,0.25,,,0.125
2020-08-30,,0.09,0.0,0.25,,,0.125
2020-08-31,,0.09,0.0,0.25,0.14,0.72,0.125
2020-09-01,0.09,0.09,0.0,0.25,0.13,0.68,0.125
2020-09-02,,0.09,0.0,0.25,0.14,0.66,0.125
2020-09-03,,0.09,0.0,0.25,0.13,0.63,0.125
2020-09-04,,0.09,0.0,0.25,0.14,0.72,0.125
2020-09-05,,0.09,0.0,0.25,,,0.125
2020-09-06,,0.09,0.0,0.25,,,0.125
2020-09-07,,0.09,0.0,0.25,,,0.125
2020-09-08,,0.09,0.0,0.25,0.14,0.69,0.125
2020-09-09,,0.09,0.0,0.25,0.14,0.71,0.125
2020-09-10,,0.09,0.0,0.25,0.14,0.68,0.125
2020-09-11,,0.09,0.0,0.25,0.13,0.67,0.125
2020-09-12,,0.09,0.0,0.25,,,0.125
2020-09-13,,0.09,0.0,0.25,,,0.125
2020-09-14,,0.09,0.0,0.25,0.14,0.68,0.125
2020-09-15,,0.09,0.0,0.25,0.14,0.68,0.125
2020-09-16,,0.09,0.0,0.25,0.14,0.69,0.125
2020-09-17,,0.09,0.0,0.25,0.13,0.69,0.125
2020-09-18,,0.09,0.0,0.25,0.14,0.7,0.125
2020-09-19,,0.09,0.0,0.25,,,0.125
2020-09-20,,0.09,0.0,0.25,,,0.125
2020-09-21,,0.09,0.0,0.25,0.14,0.68,0.125
2020-09-22,,0.09,0.0,0.25,0.13,0.68,0.125
2020-09-23,,0.09,0.0,0.25,0.14,0.68,0.125
2020-09-24,,0.09,0.0,0.25,0.14,0.67,0.125
2020-09-25,,0.09,0.0,0.25,0.12,0.66,0.125
2020-09-26,,0.09,0.0,0.25,,,0.125
2020-09-27,,0.09,0.0,0.25,,,0.125
2020-09-28,,0.09,0.0,0.25,0.14,0.67,0.125
2020-09-29,,0.09,0.0,0.25,0.11,0.66,0.125
2020-09-30,,0.09,0.0,0.25,0.13,0.69,0.125
2020-10-01,0.09,0.09,0.0,0.25,0.14,0.68,0.125
2020-10-02,,0.09,0.0,0.25,0.13,0.7,0.125
2020-10-03,,0.09,0.0,0.25,,,0.125
2020-10-04,,0.09,0.0,0.25,,,0.125
2020-10-05,,0.09,0.0,0.25,0.14,0.78,0.125
2020-10-06,,0.09,0.0,0.25,0.14,0.76,0.125
2020-10-07,,0.09,0.0,0.25,0.16,0.81,0.125
2020-10-08,,0.09,0.0,0.25,0.13,0.78,0.125
2020-10-09,,0.09,0.0,0.25,0.16,0.79,0.125
2020-10-10,,0.09,0.0,0.25,,,0.125
2020-10-11,,0.09,0.0,0.25,,,0.125
2020-10-12,,0.09,0.0,0.25,,,0.125
2020-10-13,,0.09,0.0,0.25,0.16,0.74,0.125
2020-10-14,,0.09,0.0,0.25,0.14,0.73,0.125
2020-10-15,,0.09,0.0,0.25,0.14,0.74,0.125
2020-10-16,,0.09,0.0,0.25,0.14,0.76,0.125
2020-10-17,,0.09,0.0,0.25,,,0.125
2020-10-18,,0.09,0.0,0.25,,,0.125
2020-10-19,,0.09,0.0,0.25,0.16,0.78,0.125
2020-10-20,,0.09,0.0,0.25,0.14,0.81,0.125
2020-10-21,,0.09,0.0,0.25,0.14,0.83,0.125
2020-10-22,,0.09,0.0,0.25,0.16,0.87,0.125
2020-10-23,,0.09,0.0,0.25,0.18,0.85,0.125
2020-10-24,,0.09,0.0,0.25,,,0.125
2020-10-25,,0.09,0.0,0.25,,,0.125
2020-10-26,,0.09,0.0,0.25,0.16,0.81,0.125
2020-10-27,,0.09,0.0,0.25,0.16,0.79,0.125
2020-10-28,,0.09,0.0,0.25,0.16,0.79,0.125
2020-10-29,,0.09,0.0,0.25,0.16,0.85,0.125
2020-10-30,,0.09,0.0,0.25,0.14,0.88,0.125
2020-10-31,,0.09,0.0,0.25,,,0.125
2020-11-01,0.09,0.09,0.0,0.25,,,0.125
2020-11-02,,0.09,0.0,0.25,0.16,0.87,0.125
2020-11-03,,0.09,0.0,0.25,0.17,0.9,0.125
2020-11-04,,0.09,0.0,0.25,0.14,0.78,0.125
2020-11-05,,0.09,0.0,0.25,0.14,0.79,0.125
2020-11-06,,0.09,0.0,0.25,0.16,0.83,0.125
2020-11-07,,0.09,0.0,0.25,,,0.125
2020-11-08,,0.09,0.0,0.25,,,0.125
2020-11-09,,0.09,0.0,0.25,0.17,0.96,0.125
2020-11-10,,0.09,0.0,0.25,0.19,0.98,0.125
2020-11-11,,0.09,0.0,0.25,,,0.125
2020-11-12,,0.09,0.0,0.25,0.17,0.88,0.125
2020-11-13,,0.09,0.0,0.25,0.17,0.89,0.125
2020-11-14,,0.09,0.0,0.25,,,0.125
2020-11-15,,0.09,0.0,0.25,,,0.125
2020-11-16,,0.09,0.0,0.25,0.19,0.91,0.125
2020-11-17,,0.09,0.0,0.25,0.18,0.87,0.125
2020-11-18,,0.09,0.0,0.25,0.16,0.88,0.125
2020-11-19,,0.08,0.0,0.25,0.18,0.86,0.125
2020-11-20,,0.08,0.0,0.25,0.16,0.83,0.125
2020-11-21,,0.08,0.0,0.25,,,0.125
2020-11-22,,0.08,0.0,0.25,,,0.125
2020-11-23,,0.08,0.0,0.25,0.16,0.86,0.125
2020-11-24,,0.08,0.0,0.25,0.16,0.88,0.125
2020-11-25,,0.08,0.0,0.25,0.17,0.88,0.125
2020-11-26,,0.08,0.0,0.25,,,0.125
2020-11-27,,0.08,0.0,0.25,0.16,0.84,0.125
2020-11-28,,0.08,0.0,0.25,,,0.125
2020-11-29,,0.08,0.0,0.25,,,0.125
2020-11-30,,0.09,0.0,0.25,0.16,0.84,0.125
2020-12-01,0.09,0.09,0.0,0.25,0.17,0.92,0.125
2020-12-02,,0.09,0.0,0.25,0.16,0.95,0.125
2020-12-03,,0.09,0.0,0.25,0.16,0.92,0.125
2020-12-04,,0.09,0.0,0.25,0.16,0.97,0.125
2020-12-05,,0.09,0.0,0.25,,,0.125
2020-12-06,,0.09,0.0,0.25,,,0.125
2020-12-07,,0.09,0.0,0.25,0.14,0.94,0.125
2020-12-08,,0.09,0.0,0.25,0.14,0.92,0.125
2020-12-09,,0.09,0.0,0.25,0.16,0.95,0.125
2020-12-10,,0.09,0.0,0.25,0.14,0.92,0.125
2020-12-11,,0.09,0.0,0.25,0.11,0.9,0.125
2020-12-12,,0.09,0.0,0.25,,,0.125
2020-12-13,,0.09,0.0,0.25,,,0.125
2020-12-14,,0.09,0.0,0.25,0.13,0.9,0.125
2020-12-15,,0.09,0.0,0.25,0.11,0.92,0.125
2020-12-16,,0.09,0.0,0.25,0.13,0.92,0.125
2020-12-17,,0.09,0.0,0.25,0.13,0.94,0.125
2020-12-18,,0.09,0.0,0.25,0.13,0.95,0.125
2020-12-19,,0.09,0.0,0.25,,,0.125
2020-12-20,,0.09,0.0,0.25,,,0.125
2020-12-21,,0.09,0.0,0.25,0.13,0.95,0.125
2020-12-22,,0.09,0.0,0.25,0.13,0.93,0.125
2020-12-23,,0.09,0.0,0.25,0.13,0.96,0.125
2020-12-24,,0.09,0.0,0.25,0.13,0.94,0.125
2020-12-25,,0.09,0.0,0.25,,,0.125
2020-12-26,,0.09,0.0,0.25,,,0.125
2020-12-27,,0.09,0.0,0.25,,,0.125
2020-12-28,,0.09,0.0,0.25,0.13,0.94,0.125
2020-12-29,,0.09,0.0,0.25,0.12,0.94,0.125
2020-12-30,,0.09,0.0,0.25,0.12,0.93,0.125
2020-12-31,,0.09,0.0,0.25,0.13,0.93,0.125
2021-01-01,0.09,0.09,0.0,0.25,,,0.125
2021-01-02,,0.09,0.0,0.25,,,0.125
2021-01-03,,0.09,0.0,0.25,,,0.125
2021-01-04,,0.09,0.0,0.25,0.11,0.93,0.125
2021-01-05,,0.09,0.0,0.25,0.13,0.96,0.125
2021-01-06,,0.09,0.0,0.25,0.14,1.04,0.125
2021-01-07,,0.09,0.0,0.25,0.14,1.08,0.125
2021-01-08,,0.09,0.0,0.25,0.14,1.13,0.125
2021-01-09,,0.09,0.0,0.25,,,0.125
2021-01-10,,0.09,0.0,0.25,,,0.125
2021-01-11,,0.09,0.0,0.25,0.14,1.15,0.125
2021-01-12,,0.09,0.0,0.25,0.14,1.15,0.125
2021-01-13,,0.09,0.0,0.25,0.14,1.1,0.125
2021-01-14,,0.09,0.0,0.25,0.16,1.15,0.125
2021-01-15,,0.09,0.0,0.25,0.13,1.11,0.125
2021-01-16,,0.09,0.0,0.25,,,0.125
2021-01-17,,0.09,0.0,0.25,,,0.125
2021-01-18,,0.09,0.0,0.25,,,0.125
2021-01-19,,0.09,0.0,0.25,0.14,1.1,0.125
2021-01-20,,0.09,0.0,0.25,0.13,1.1,0.125
2021-01-21,,0.08,0.0,0.25,0.13,1.12,0.125
2021-01-22,,0.08,0.0,0.25,0.13,1.1,0.125
2021-01-23,,0.08,0.0,0.25,,,0.125
2021-01-24,,0.08,0.0,0.25,,,0.125
2021-01-25,,0.08,0.0,0.25,0.13,1.05,0.125
2021-01-26,,0.08,0.0,0.25,0.11,1.05,0.125
2021-01-27,,0.08,0.0,0.25,0.12,1.04,0.125
2021-01-28,,0.07,0.0,0.25,0.12,1.07,0.125
2021-01-29,,0.07,0.0,0.25,0.11,1.11,0.125
2021-01-30,,0.07,0.0,0.25,,,0.125
2021-01-31,,0.07,0.0,0.25,,,0.125
2021-02-01,0.08,0.08,0.0,0.25,0.11,1.09,0.125
2021-02-02,,0.08,0.0,0.25,0.11,1.12,0.125
2021-02-03,,0.08,0.0,0.25,0.11,1.15,0.125
2021-02-04,,0.08,0.0,0.25,0.11,1.15,0.125
2021-02-05,,0.08,0.0,0.25,0.09,1.19,0.125
2021-02-06,,0.08,0.0,0.25,,,0.125
2021-02-07,,0.08,0.0,0.25,,,0.125
2021-02-08,,0.07,0.0,0.25,0.11,1.19,0.125
2021-02-09,,0.08,0.0,0.25,0.11,1.18,0.125
2021-02-10,,0.08,0.0,0.25,0.11,1.15,0.125
2021-02-11,,0.08,0.0,0.25,0.11,1.16,0.125
2021-02-12,,0.08,0.0,0.25,0.11,1.2,0.125
2021-02-13,,0.08,0.0,0.25,,,0.125
2021-02-14,,0.08,0.0,0.25,,,0.125
2021-02-15,,0.08,0.0,0.25,,,0.125
2021-02-16,,0.08,0.0,0.25,0.13,1.3,0.125
2021-02-17,,0.08,0.0,0.25,0.11,1.29,0.125
2021-02-18,,0.07,0.0,0.25,0.11,1.29,0.125
2021-02-19,,0.07,0.0,0.25,0.11,1.34,0.125
2021-02-20,,0.07,0.0,0.25,,,0.125
2021-02-21,,0.07,0.0,0.25,,,0.125
2021-02-22,,0.07,0.0,0.25,0.11,1.37,0.125
2021-02-23,,0.07,0.0,0.25,0.11,1.37,0.125
2021-02-24,,0.07,0.0,0.25,0.12,1.38,0.125
2021-02-25,,0.07,0.0,0.25,0.17,1.54,0.125
2021-02-26,,0.07,0.0,0.25,0.14,1.44,0.125
2021-02-27,,0.07,0.0,0.25,,,0.125
2021-02-28,,0.07,0.0,0.25,,,0.125
2021-03-01,0.07,0.07,0.0,0.25,0.13,1.45,0.125
2021-03-02,,0.07,0.0,0.25,0.13,1.42,0.125
2021-03-03,,0.07,0.0,0.25,0.14,1.47,0.125
2021-03-04,,0.07,0.0,0.25,0.14,1.54,0.125
2021-03-05,,0.07,0.0,0.25,0.14,1.56,0.125
2021-03-06,,0.07,0.0,0.25,,,0.125
2021-03-07,,0.07,0.0,0.25,,,0.125
2021-03-08,,0.07,0.0,0.25,0.17,1.59,0.125
2021-03-09,,0.07,0.0,0.25,0.17,1.55,0.125
2021-03-10,,0.07,0.0,0.25,0.16,1.53,0.125
2021-03-11,,0.07,0.0,0.25,0.14,1.54,0.125
2021-03-12,,0.07,0.0,0.25,0.14,1.64,0.125
2021-03-13,,0.07,0.0,0.25,,,0.125
2021-03-14,,0.07,0.0,0.25,,,0.125
2021-03-15,,0.07,0.0,0.25,0.14,1.62,0.125
2021-03-16,,0.07,0.0,0.25,0.15,1.62,0.125
2021-03-17,,0.07,0.0,0.25,0.13,1.63,0.125
2021-03-18,,0.07,0.0,0.25,0.16,1.71,0.125
2021-03-19,,0.07,0.0,0.25,0.16,1.74,0.125
2021-03-20,,0.07,0.0,0.25,,,0.125
2021-03-21,,0.07,0.0,0.25,,,0.125
2021-03-22,,0.07,0.0,0.25,0.15,1.69,0.125
2021-03-23,,0.07,0.0,0.25,0.15,1.63,0.125
2021-03-24,,0.07,0.0,0.25,0.14,1.62,0.125
2021-03-25,,0.07,0.0,0.25,0.14,1.63,0.125
2021-03-26,,0.07,0.0,0.25,0.14,1.67,0.125
2021-03-27,,0.07,0.0,0.25,,,0.125
2021-03-28,,0.07,0.0,0.25,,,0.125
2021-03-29,,0.07,0.0,0.25,0.14,1.73,0.125
2021-03-30,,0.07,0.0,0.25,0.16,1.73,0.125
2021-03-31,,0.06,0.0,0.25,0.16,1.74,0.125
2021-04-01,0.07,0.07,0.0,0.25,0.17,1.69,0.125
2021-04-02,,0.07,0.0,0.25,0.19,1.72,0.125
2021-04-03,,0.07,0.0,0.25,,,0.125
2021-04-04,,0.07,0.0,0.25,,,0.125
2021-04-05,,0.07,0.0,0.25,0.17,1.73,0.125
2021-04-06,,0.07,0.0,0.25,0.16,1.67,0.125
2021-04-07,,0.07,0.0,0.25,0.16,1.68,0.125
2021-04-08,,0.07,0.0,0.25,0.14,1.64,0.125
2021-04-09,,0.07,0.0,0.25,0.16,1.67,0.125
2021-04-10,,0.07,0.0,0.25,,,0.125
2021-04-11,,0.07,0.0,0.25,,,0.125
2021-04-12,,0.07,0.0,0.25,0.18,1.69,0.125
2021-04-13,,0.07,0.0,0.25,0.16,1.64,0.125
2021-04-14,,0.07,0.0,0.25,0.16,1.64,0.125
2021-04-15,,0.07,0.0,0.25,0.16,1.56,0.125
2021-04-16,,0.07,0.0,0.25,0.16,1.59,0.125
2021-04-17,,0.07,0.0,0.25,,,0.125
2021-04-18,,0.07,0.0,0.25,,,0.125
2021-04-19,,0.07,0.0,0.25,0.16,1.61,0.125
2021-04-20,,0.07,0.0,0.25,0.15,1.58,0.125
2021-04-21,,0.07,0.0,0.25,0.15,1.57,0.125
2021-04-22,,0.07,0.0,0.25,0.16,1.57,0.125
2021-04-23,,0.07,0.0,0.25,0.16,1.58,0.125
2021-04-24,,0.07,0.0,0.25,,,0.125
2021-04-25,,0.07,0.0,0.25,,,0.125
2021-04-26,,0.07,0.0,0.25,0.18,1.58,0.125
2021-04-27,,0.07,0.0,0.25,0.17,1.63,0.125
2021-04-28,,0.07,0.0,0.25,0.17,1.63,0.125
2021-04-29,,0.06,0.0,0.25,0.16,1.65,0.125
2021-04-30,,0.05,0.0,0.25,0.16,1.65,0.125
2021-05-01,0.06,0.05,0.0,0.25,,,0.125
2021-05-02,,0.05,0.0,0.25,,,0.125
2021-05-03,,0.06,0.0,0.25,0.16,1.63,0.125
2021-05-04,,0.06,0.0,0.25,0.16,1.61,0.125
2021-05-05,,0.06,0.0,0.25,0.16,1.59,0.125
2021-05-06,,0.06,0.0,0.25,0.16,1.58,0.125
2021-05-07,,0.06,0.0,0.25,0.14,1.6,0.125
2021-05-08,,0.06,0.0,0.25,,,0.125
2021-05-09,,0.06,0.0,0.25,,,0.125
2021-05-10,,0.06,0.0,0.25,0.16,1.63,0.125
2021-05-11,,0.06,0.0,0.25,0.16,1.64,0.125
2021-05-12,,0.06,0.0,0.25,0.16,1.69,0.125
2021-05-13,,0.06,0.0,0.25,0.16,1.66,0.125
2021-05-14,,0.06,0.0,0.25,0.16,1.63,0.125
2021-05-15,,0.06,0.0,0.25,,,0.125
2021-05-16,,0.06,0.0,0.25,,,0.125
2021-05-17,,0.06,0.0,0.25,0.16,1.64,0.125
2021-05-18,,0.06,0.0,0.25,0.16,1.64,0.125
2021-05-19,,0.06,0.0,0.25,0.16,1.68,0.125
2021-05-20,,0.06,0.0,0.25,0.15,1.63,0.125
2021-05-21,,0.06,0.0,0.25,0.17,1.63,0.125
2021-05-22,,0.06,0.0,0.25,,,0.125
2021-05-23,,0.06,0.0,0.25,,,0.125
2021-05-24,,0.06,0.0,0.25,0.15,1.61,0.125
2021-05-25,,0.06,0.0,0.25,0.15,1.56,0.125
2021-05-26,,0.06,0.0,0.25,0.14,1.58,0.125
2021-05-27,,0.06,0.0,0.25,0.14,1.61,0.125
2021-05-28,,0.05,0.0,0.25,0.14,1.58,0.125
2021-05-29,,0.05,0.0,0.25,,,0.125
2021-05-30,,0.05,0.0,0.25,,,0.125
2021-05-31,,0.05,0.0,0.25,,,0.125
2021-06-01,0.08,0.06,0.0,0.25,0.16,1.62,0.125
2021-06-02,,0.06,0.0,0.25,0.13,1.59,0.125
2021-06-03,,0.06,0.0,0.25,0.16,1.63,0.125
2021-06-04,,0.06,0.0,0.25,0.14,1.56,0.125
2021-06-05,,0.06,0.0,0.25,,,0.125
2021-06-06,,0.06,0.0,0.25,,,0.125
2021-06-07,,0.06,0.0,0.25,0.16,1.57,0.125
2021-06-08,,0.06,0.0,0.25,0.14,1.53,0.125
2021-06-09,,0.06,0.0,0.25,0.16,1.5,0.125
2021-06-10,,0.06,0.0,0.25,0.14,1.45,0.125
2021-06-11,,0.06,0.0,0.25,0.16,1.47,0.125
2021-06-12,,0.06,0.0,0.25,,,0.125
2021-06-13,,0.06,0.0,0.25,,,0.125
2021-06-14,,0.06,0.0,0.25,0.16,1.51,0.125
2021-06-15,,0.06,0.0,0.25,0.16,1.51,0.125
2021-06-16,,0.06,0.0,0.25,0.21,1.57,0.125
2021-06-17,,0.1,0.0,0.25,0.23,1.52,0.125
2021-06-18,,0.1,0.0,0.25,0.26,1.45,0.125
2021-06-19,,0.1,0.0,0.25,,,0.125
2021-06-20,,0.1,0.0,0.25,,,0.125
2021-06-21,,0.1,0.0,0.25,0.27,1.5,0.125
2021-06-22,,0.1,0.0,0.25,0.25,1.48,0.125
2021-06-23,,0.1,0.0,0.25,0.26,1.5,0.125
2021-06-24,,0.1,0.0,0.25,0.26,1.49,0.125
2021-06-25,,0.1,0.0,0.25,0.28,1.54,0.125
2021-06-26,,0.1,0.0,0.25,,,0.125
2021-06-27,,0.1,0.0,0.25,,,0.125
2021-06-28,,0.1,0.0,0.25,0.25,1.49,0.125
2021-06-29,,0.1,0.0,0.25,0.27,1.49,0.125
2021-06-30,,0.08,0.0,0.25,0.25,1.45,0.125
2021-07-01,0.1,0.1,0.0,0.25,0.25,1.48,0.125
2021-07-02,,0.1,0.0,0.25,0.24,1.44,0.125
2021-07-03,,0.1,0.0,0.25,,,0.125
2021-07-04,,0.1,0.0,0.25,,,0.125
2021-07-05,,0.1,0.0,0.25,,,0.125
2021-07-06,,0.1,0.0,0.25,0.22,1.37,0.125
2021-07-07,,0.1,0.0,0.25,0.22,1.33,0.125
2021-07-08,,0.1,0.0,0.25,0.19,1.3,0.125
2021-07-09,,0.1,0.0,0.25,0.23,1.37,0.125
2021-07-10,,0.1,0.0,0.25,,,0.125
2021-07-11,,0.1,0.0,0.25,,,0.125
2021-07-12,,0.1,0.0,0.25,0.23,1.38,0.125
2021-07-13,,0.1,0.0,0.25,0.26,1.42,0.125
2021-07-14,,0.1,0.0,0.25,0.23,1.37,0.125
2021-07-15,,0.1,0.0,0.25,0.23,1.31,0.125
2021-07-16,,0.1,0.0,0.25,0.25,1.31,0.125
2021-07-17,,0.1,0.0,0.25,,,0.125
2021-07-18,,0.1,0.0,0.25,,,0.125
2021-07-19,,0.1,0.0,0.25,0.21,1.19,0.125
2021-07-20,,0.1,0.0,0.25,0.2,1.23,0.125
2021-07-21,,0.1,0.0,0.25,0.22,1.3,0.125
2021-07-22,,0.1,0.0,0.25,0.2,1.27,0.125
2021-07-23,,0.1,0.0,0.25,0.22,1.3,0.125
2021-07-24,,0.1,0.0,0.25,,,0.125
2021-07-25,,0.1,0.0,0.25,,,0.125
2021-07-26,,0.1,0.0,0.25,0.22,1.29,0.125
2021-07-27,,0.1,0.0,0.25,0.2,1.25,0.125
2021-07-28,,0.1,0.0,0.25,0.2,1.26,0.125
2021-07-29,,0.1,0.0,0.25,0.2,1.28,0.125
2021-07-30,,0.07,0.0,0.25,0.19,1.24,0.125
2021-07-31,,0.07,0.0,0.25,,,0.125
2021-08-01,0.09,0.07,0.0,0.25,,,0.125
2021-08-02,,0.1,0.0,0.25,0.17,1.2,0.125
2021-08-03,,0.1,0.0,0.25,0.17,1.19,0.125
2021-08-04,,0.1,0.0,0.25,0.17,1.19,0.125
2021-08-05,,0.1,0.0,0.25,0.21,1.23,0.125
2021-08-06,,0.1,0.0,0.25,0.21,1.31,0.125
2021-08-07,,0.1,0.0,0.25,,,0.125
2021-08-08,,0.1,0.0,0.25,,,0.125
2021-08-09,,0.1,0.0,0.25,0.23,1.33,0.125
2021-08-10,,0.1,0.0,0.25,0.24,1.36,0.125
2021-08-11,,0.1,0.0,0.25,0.23,1.35,0.125
2021-08-12,,0.1,0.0,0.25,0.23,1.36,0.125
2021-08-13,,0.1,0.0,0.25,0.23,1.29,0.125
2021-08-14,,0.1,0.0,0.25,,,0.125
2021-08-15,,0.1,0.0,0.25,,,0.125
2021-08-16,,0.1,0.0,0.25,0.21,1.26,0.125
2021-08-17,,0.1,0.0,0.25,0.23,1.26,0.125
2021-08-18,,0.09,0.0,0.25,0.23,1.27,0.125
2021-08-19,,0.09,0.0,0.25,0.22,1.24,0.125
2021-08-20,,0.09,0.0,0.25,0.23,1.26,0.125
2021-08-21,,0.09,0.0,0.25,,,0.125
2021-08-22,,0.09,0.0,0.25,,,0.125
2021-08-23,,0.09,0.0,0.25,0.23,1.25,0.125
2021-08-24,,0.09,0.0,0.25,0.24,1.29,0.125
2021-08-25,,0.09,0.0,0.25,0.23,1.35,0.125
2021-08-26,,0.09,0.0,0.25,0.25,1.34,0.125
2021-08-27,,0.08,0.0,0.25,0.22,1.31,0.125
2021-08-28,,0.08,0.0,0.25,,,0.125
2021-08-29,,0.08,0.0,0.25,,,0.125
2021-08-30,,0.08,0.0,0.25,0.2,1.29,0.125
2021-08-31,,0.06,0.0,0.25,0.2,1.3,0.125
2021-09-01,0.08,0.08,0.0,0.25,0.2,1.31,0.125
2021-09-02,,0.08,0.0,0.25,0.2,1.29,0.125
2021-09-03,,0.08,0.0,0.25,0.21,1.33,0.125
2021-09-04,,0.08,0.0,0.25,,,0.125
2021-09-05,,0.08,0.0,0.25,,,0.125
2021-09-06,,0.08,0.0,0.25,,,0.125
2021-09-07,,0.08,0.0,0.25,0.22,1.38,0.125
2021-09-08,,0.08,0.0,0.25,0.22,1.35,0.125
2021-09-09,,0.08,0.0,0.25,0.23,1.3,0.125
2021-09-10,,0.08,0.0,0.25,0.23,1.35,0.125
2021-09-11,,0.08,0.0,0.25,,,0.125
2021-09-12,,0.08,0.0,0.25,,,0.125
2021-09-13,,0.08,0.0,0.25,0.21,1.33,0.125
2021-09-14,,0.08,0.0,0.25,0.21,1.28,0.125
2021-09-15,,0.08,0.0,0.25,0.21,1.31,0.125
2021-09-16,,0.08,0.0,0.25,0.23,1.34,0.125
2021-09-17,,0.08,0.0,0.25,0.23,1.37,0.125
2021-09-18,,0.08,0.0,0.25,,,0.125
2021-09-19,,0.08,0.0,0.25,,,0.125
2021-09-20,,0.08,0.0,0.25,0.23,1.31,0.125
2021-09-21,,0.08,0.0,0.25,0.22,1.33,0.125
2021-09-22,,0.08,0.0,0.25,0.25,1.32,0.125
2021-09-23,,0.08,0.0,0.25,0.27,1.41,0.125
2021-09-24,,0.08,0.0,0.25,0.29,1.47,0.125
2021-09-25,,0.08,0.0,0.25,,,0.125
2021-09-26,,0.08,0.0,0.25,,,0.125
2021-09-27,,0.08,0.0,0.25,0.31,1.48,0.125
2021-09-28,,0.08,0.0,0.25,0.31,1.54,0.125
2021-09-29,,0.08,0.0,0.25,0.3,1.55,0.125
2021-09-30,,0.06,0.0,0.25,0.28,1.52,0.125
2021-10-01,0.08,0.08,0.0,0.25,0.27,1.48,0.125
2021-10-02,,0.08,0.0,0.25,,,0.125
2021-10-03,,0.08,0.0,0.25,,,0.125
2021-10-04,,0.08,0.0,0.25,0.27,1.49,0.125
2021-10-05,,0.08,0.0,0.25,0.28,1.54,0.125
2021-10-06,,0.08,0.0,0.25,0.3,1.53,0.125
2021-10-07,,0.08,0.0,0.25,0.32,1.58,0.125
2021-10-08,,0.08,0.0,0.25,0.32,1.61,0.125
2021-10-09,,0.08,0.0,0.25,,,0.125
2021-10-10,,0.08,0.0,0.25,,,0.125
2021-10-11,,0.08,0.0,0.25,,,0.125
2021-10-12,,0.08,0.0,0.25,0.35,1.59,0.125
2021-10-13,,0.08,0.0,0.25,0.37,1.56,0.125
2021-10-14,,0.08,0.0,0.25,0.36,1.52,0.125
